8.784134288431582e-10, 8.546602879642998e-11
8.829292075237295e-10, 1.956580606591985e-11
1.042148332717446e-9, 1.7999793201917814e-11
1.2052652197445709e-9, 1.890701984307877e-11
1.470922497389235e-9, 2.1216396124433506e-11
1.8644119726691423e-9, 2.1912391229001934e-11
2.2813454778076673e-9, 2.0834916040395108e-11
2.6439774778432644e-9, 1.9168585924049328e-11
3.2284444581738264e-9, 2.0808908498775754e-11
3.807626765772237e-9, 2.0118844675533486e-11
4.753789129479297e-9, 1.703389167666679e-11
4.8593220935183335e-9, 1.3507039045802543e-11
5.066798419997638e-9, 9.696387139889382e-12
5.577942690145407e-9, 7.193883469843232e-12
6.837898168586678e-9, 6.091199056661451e-12
8.68308650700429e-9, 5.602196815992607e-12
1.1005916676177418e-8, 5.785974566742149e-12
1.1005916676177418e-8, 5.785974566742149e-12
1.3917156319981808e-8, 6.936598806220979e-12
1.635787727972521e-8, 8.318228271421322e-12
2.033692438129246e-8, 9.180285000039943e-12
2.2634193882247652e-8, 1.0830073814673738e-11
2.7072965543480912e-8, 1.3648065246908033e-11
3.3605391042555754e-8, 1.6636591471405866e-11
3.884486691526916e-8, 1.806380462828924e-11
4.118540429000239e-8, 1.432182626824716e-11
4.450743773367203e-8, 1.0803763247265962e-11
4.979621901671698e-8, 9.150760802885586e-12
5.5348406500622754e-8, 1.1727507865195053e-11
6.369251403935922e-8, 1.6875620481412482e-11
6.698196128473786e-8, 2.236058909835533e-11
7.315975710072376e-8, 2.7269448493197656e-11
9.107550486870155e-8, 2.77031024093135e-11
1.0758403890093477e-7, 2.4250137883810772e-11
1.2471788537121322e-7, 2.1944105277775378e-11
1.3873310129829133e-7, 2.6759774021128767e-11
1.543232820100755e-7, 3.263224891593619e-11
1.781965665616761e-7, 3.785911886139602e-11
1.9468295421736648e-7, 4.541182548333437e-11
2.2438633374421493e-7, 5.916366166377354e-11
2.6353010823300283e-7, 7.456298199677269e-11
2.779431137023965e-7, 8.233899278372515e-11
